row_id,datatype_value
1,DB00005
2,DB00016
3,DB00020
4,DB00026
5,DB00028
6,DB00030
7,DB00034
8,DB00035
9,DB00051
10,DB00052
11,DB00053
12,DB00060
13,DB00061
14,DB00065
15,DB00067
16,DB00073
17,DB00083
18,DB00090
19,DB00091
20,DB00098
21,DB00099
22,DB00103
23,DB00111
24,DB00112
25,DB00114
26,DB00115
27,DB00118
28,DB00119
29,DB00121
30,DB00123
31,DB00125
32,DB00126
33,DB00129
34,DB00130
35,DB00133
36,DB00136
37,DB00140
38,DB00143
39,DB00145
40,DB00147
41,DB00148
42,DB00149
43,DB00151
44,DB00152
45,DB00155
46,DB00158
47,DB00159
48,DB00162
49,DB00163
50,DB00165
51,DB00166
52,DB00169
53,DB00175
54,DB00178
55,DB00181
56,DB00182
57,DB00186
58,DB00188
59,DB00190
60,DB00200
61,DB00213
62,DB00227
63,DB00230
64,DB00232
65,DB00235
66,DB00244
67,DB00252
68,DB00273
69,DB00282
70,DB00288
71,DB00311
72,DB00313
73,DB00321
74,DB00328
75,DB00331
76,DB00334
77,DB00348
78,DB00360
79,DB00376
80,DB00390
81,DB00393
82,DB00396
83,DB00404
84,DB00413
85,DB00419
86,DB00421
87,DB00435
88,DB00437
89,DB00440
90,DB00451
91,DB00458
92,DB00459
93,DB00472
94,DB00476
95,DB00477
96,DB00480
97,DB00494
98,DB00502
99,DB00509
100,DB00533
101,DB00542
102,DB00555
103,DB00563
104,DB00564
105,DB00571
106,DB00583
107,DB00586
108,DB00593
109,DB00594
110,DB00603
111,DB00608
112,DB00620
113,DB00624
114,DB00627
115,DB00635
116,DB00636
117,DB00641
118,DB00650
119,DB00672
120,DB00679
121,DB00682
122,DB00683
123,DB00688
124,DB00695
125,DB00697
126,DB00700
127,DB00734
128,DB00741
129,DB00742
130,DB00746
131,DB00755
132,DB00761
133,DB00776
134,DB00783
135,DB00788
136,DB00808
137,DB00819
138,DB00829
139,DB0084
140,DB00847
141,DB00855
142,DB00860
143,DB00869
144,DB00877
145,DB00909
146,DB00915
147,DB00916
148,DB00926
149,DB00936
150,DB00951
151,DB00973
152,DB00988
153,DB00993
154,DB00994
155,DB00996
156,DB00999
157,DB01001
158,DB01012
159,DB01015
160,DB01022
161,DB01025
162,DB01026
163,DB01032
164,DB01037
165,DB01039
166,DB01041
167,DB01045
168,DB01068
169,DB01076
170,DB01080
171,DB01083
172,DB01098
173,DB01115
174,DB01119
175,DB01124
176,DB01132
177,DB01151
178,DB01174
179,DB01186
180,DB01197
181,DB01200
182,DB01202
183,DB01205
184,DB01219
185,DB01233
186,DB01234
187,DB01235
188,DB01241
189,DB01247
190,DB01257
191,DB01277
192,DB01306
193,DB01323
194,DB01324
195,DB01325
196,DB01329
197,DB01345
198,DB01348
199,DB01373
200,DB01390
201,DB01393
202,DB01394
203,DB01403
204,DB01432
205,DB01563
206,DB01586
207,DB01592
208,DB01593
209,DB01599
210,DB01606
211,DB01609
212,DB01611
213,DB01626
214,DB01783
215,DB01914
216,DB01956
217,DB02053
218,DB02209
219,DB02285
220,DB02329
221,DB02659
222,DB02691
223,DB02699
224,DB02701
225,DB02745
226,DB02772
227,DB02959
228,DB03085
229,DB03147
230,DB03227
231,DB03256
232,DB03404
233,DB03485
234,DB03614
235,DB03756
236,DB03766
237,DB03793
238,DB03904
239,DB04075
240,DB04076
241,DB04159
242,DB04173
243,DB04263
244,DB04272
245,DB04540
246,DB04552
247,DB04729
248,DB04789
249,DB04815
250,DB04844
251,DB04854
252,DB04931
253,DB05018
254,DB05123
255,DB05134
256,DB05271
257,DB05294
258,DB05386
259,DB05481
260,DB05990
261,DB06151
262,DB06168
263,DB06210
264,DB06262
265,DB06273
266,DB06281
267,DB06285
268,DB06372
269,DB06667
270,DB06720
271,DB06742
272,DB06755
273,DB06756
274,DB06775
275,DB06777
276,DB06819
277,DB07425
278,DB08809
279,DB08826
280,DB08834
281,DB08860
282,DB08875
283,DB08876
284,DB08883
285,DB08909
286,DB09039
287,DB09043
288,DB09046
289,DB09081
290,DB09105
291,DB09115
292,DB09125
293,DB09130
294,DB09144
295,DB09154
296,DB09210
297,DB09241
298,DB09269
299,DB09270
300,DB09278
301,DB09341
302,DB09393
303,DB09395
304,DB09422
305,DB09449
306,DB09526
307,DB11094
308,DB11098
309,DB11133
310,DB11135
311,DB11251
312,DB11563
313,DB11599
314,DB11635
315,DB11672
316,DB11677
317,DB11735
318,DB11859
319,DB11917
320,DB11981
321,DB11991
322,DB12273
323,DB12319
324,DB12351
325,DB12374
326,DB12449
327,DB12528
328,DB12536
329,DB12537
330,DB12783
331,DB12839
332,DB12890
333,DB12907
334,DB13173
335,DB13178
336,DB13191
337,DB13245
338,DB13257
339,DB13873
340,DB13959
341,DB13961
342,DB14002
343,DB14098
344,DB14104
345,DB14151
346,DB14307
347,DB14476
348,DB14500
349,DB14502
350,DB14507
351,DB14513
352,DB14555
353,DB14573
354,DB14644
355,DB14657
356,DB14681
357,DB14712
358,DB14751
359,DB14778
360,DB14933
361,DB15146
362,DB6756
