row_id,datatype_value
1,K00016
2,K00022
3,K00072
4,K00109
5,K00140
6,K00166
7,K00167
8,K00207
9,K00227
10,K00251
11,K00252
12,K00253
13,K00261
14,K00275
15,K00287
16,K00294
17,K00297
18,K00311
19,K00318
20,K00357
21,K00382
22,K00451
23,K00453
24,K00457
25,K00488
26,K00500
27,K00501
28,K00503
29,K00512
30,K00542
31,K00548
32,K00552
33,K00597
34,K00613
35,K00626
36,K00650
37,K00688
38,K00693
39,K00699
40,K00700
41,K00721
42,K00728
43,K00759
44,K00760
45,K00789
46,K00819
47,K00849
48,K00850
49,K00857
50,K00864
51,K00869
52,K00871
53,K00902
54,K00904
55,K00948
56,K01052
57,K01074
58,K01077
59,K01084
60,K01099
61,K01189
62,K01192
63,K01196
64,K01201
65,K01204
66,K01206
67,K01217
68,K01230
69,K01275
70,K01279
71,K01435
72,K01444
73,K01464
74,K01476
75,K01488
76,K01490
77,K01495
78,K01556
79,K01578
80,K01593
81,K01599
82,K01623
83,K01640
84,K01679
85,K01689
86,K01697
87,K01719
88,K01724
89,K01749
90,K01755
91,K01758
92,K01772
93,K01809
94,K01835
95,K01876
96,K01900
97,K01915
98,K01948
99,K01968
100,K01969
101,K02332
102,K02333
103,K02868
104,K02917
105,K02932
106,K02947
107,K02962
108,K02966
109,K02974
110,K02976
111,K02993
112,K03165
113,K03370
114,K03469
115,K03521
116,K03522
117,K03644
118,K03841
119,K03857
120,K03984
121,K04524
122,K04612
123,K04635
124,K04728
125,K04995
126,K05018
127,K05032
128,K05048
129,K05126
130,K05242
131,K05284
132,K05285
133,K05292
134,K05334
135,K05459
136,K05607
137,K05612
138,K05626
139,K05641
140,K05666
141,K05675
142,K05863
143,K06265
144,K07190
145,K07299
146,K07515
147,K07593
148,K07605
149,K07748
150,K07953
151,K08105
152,K08171
153,K08239
154,K08573
155,K08683
156,K08764
157,K08765
158,K08900
159,K09025
160,K09182
161,K09478
162,K09525
163,K09539
164,K09654
165,K09658
166,K09659
167,K09666
168,K09699
169,K09828
170,K10352
171,K10742
172,K10808
173,K10863
174,K11529
175,K11538
176,K11827
177,K12301
178,K12309
179,K12311
180,K12348
181,K12359
182,K12382
183,K12385
184,K12386
185,K12389
186,K12405
187,K12407
188,K12408
189,K12409
190,K12564
191,K12565
192,K12641
193,K13289
194,K13443
195,K13444
196,K13511
197,K13524
198,K13624
199,K13649
200,K13667
201,K13699
202,K13867
203,K13990
204,K14156
205,K14157
206,K14158
207,K14209
208,K14425
209,K14426
210,K14462
211,K14463
212,K14610
213,K14616
214,K14618
215,K14710
216,K14736
217,K15100
218,K15105
219,K15109
220,K15279
221,K15728
222,K16343
223,K17079
224,K17425
225,K17547
226,K17680
227,K17686
228,K17725
229,K17964
230,K18204
231,K18207
232,K18259
233,K18261
234,K18274
235,K18592
236,K18703
237,K19054
238,K19331
239,K19480
240,K19523
241,K19531
242,K19532
243,K19703
244,K19872
245,K19873
246,K20288
247,K21032
248,K21052
249,K21456
250,K22283
251,K22734
252,K23100
253,K23106
254,K23555
