From	To
P00813	hsa:100
Q9Y223	hsa:10020
P42704	hsa:10128
Q9UDR5	hsa:10157
Q9UJS0	hsa:10165
Q9Y2B1	hsa:10329
P61916	hsa:10577
Q9Y6A1	hsa:10585
P53634	hsa:1075
O95954	hsa:10841
Q9UNF1	hsa:10916
O43766	hsa:11019
O43505	hsa:11041
Q9Y259	hsa:1120
Q9UHN1	hsa:11232
Q9UKM7	hsa:11253
Q8NCH0	hsa:113189
Q6Q788	hsa:116519
P53680	hsa:1175
P51801	hsa:1188
O14773	hsa:1200
Q13286	hsa:1201
Q92887	hsa:1244
Q96DA6	hsa:131118
Q8IVS8	hsa:132158
P00450	hsa:1356
P31327	hsa:1373
P50416	hsa:1374
Q92523	hsa:1375
Q8IWY9	hsa:146059
Q6ZVN8	hsa:148738
Q8NCR0	hsa:148789
P32929	hsa:1491
O60931	hsa:1497
Q495M3	hsa:153201
P05093	hsa:1586
Q02318	hsa:1593
Q14118	hsa:1605
P09172	hsa:1621
P11182	hsa:1629
P20711	hsa:1644
Q16854	hsa:1716
Q15392	hsa:1718
P00374	hsa:1719
P09622	hsa:1738
P20933	hsa:175
P51530	hsa:1763
P35573	hsa:178
P80404	hsa:18
Q12882	hsa:1806
Q14117	hsa:1807
P54259	hsa:1822
Q16610	hsa:1893
O95477	hsa:19
P13929	hsa:2027
Q75V66	hsa:203859
P13804	hsa:2108
P38117	hsa:2109
Q16134	hsa:2110
P33897	hsa:215
P09467	hsa:2203
O75072	hsa:2218
P22830	hsa:2235
P04075	hsa:226
P07954	hsa:2271
Q9UPQ8	hsa:22845
Q14693	hsa:23175
O95822	hsa:23417
O95571	hsa:23474
P15328	hsa:2348
O95427	hsa:23556
Q16595	hsa:2395
O60930	hsa:246243
P05186	hsa:249
P04066	hsa:2517
P35575	hsa:2538
O43826	hsa:2542
P51570	hsa:2584
Q14353	hsa:2593
Q9Y4U1	hsa:25974
P15976	hsa:2623
P50440	hsa:2628
P04062	hsa:2629
Q04446	hsa:2632
Q92947	hsa:2639
P30793	hsa:2643
P35557	hsa:2645
Q9NRA2	hsa:26503
P19440	hsa:2678
P23109	hsa:270
Q9UKU7	hsa:27034
P32189	hsa:2710
P06280	hsa:2717
P16278	hsa:2720
Q14749	hsa:27232
Q9H3L0	hsa:27249
P00367	hsa:2746
P15104	hsa:2752
P29992	hsa:2767
Q8NBK3	hsa:285362
P12235	hsa:291
P48637	hsa:2937
Q9UKY4	hsa:29954
P54840	hsa:2998
Q99714	hsa:3028
P40939	hsa:3030
Q16836	hsa:3033
Q30201	hsa:3077
Q93099	hsa:3081
P08397	hsa:3145
P35914	hsa:3155
P32754	hsa:3242
P00492	hsa:3251
P51659	hsa:3295
P04114	hsa:338
Q695T7	hsa:340024
P35475	hsa:3425
P05019	hsa:3479
P02649	hsa:348
P07741	hsa:353
P45954	hsa:36
P26440	hsa:3712
P48048	hsa:3758
P24752	hsa:38
P05089	hsa:383
P13647	hsa:3852
Q14739	hsa:3930
P04180	hsa:3931
P00338	hsa:3939
P07195	hsa:3945
P38571	hsa:3988
P11150	hsa:3990
P02545	hsa:4000
O00754	hsa:4125
O00462	hsa:4126
Q00266	hsa:4143
Q13510	hsa:427
Q02252	hsa:4329
P04424	hsa:435
P34949	hsa:4351
P42898	hsa:4524
P55157	hsa:4547
Q99707	hsa:4548
Q9UBK8	hsa:4552
Q03426	hsa:4598
Q9UKX2	hsa:4620
P17050	hsa:4668
Q13315	hsa:472
O15118	hsa:4864
P04181	hsa:4942
Q01968	hsa:4952
O60313	hsa:4976
Q7LG56	hsa:50484
P00439	hsa:5053
Q15738	hsa:50814
