row_id,datatype_value
1,3BHS7_HUMAN
2,A1AT_HUMAN
3,ABCA1_HUMAN
4,ABCC8_HUMAN
5,ABCD1_HUMAN
6,ABHD5_HUMAN
7,ACAD8_HUMAN
8,ACDSB_HUMAN
9,ADT1_HUMAN
10,AGAL_HUMAN
11,AK1D1_HUMAN
12,AL4A1_HUMAN
13,ALDOA_HUMAN
14,AMNLS_HUMAN
15,AMPD1_HUMAN
16,ANKH_HUMAN
17,ANO5_HUMAN
18,AP2S1_HUMAN
19,APOA5_HUMAN
20,APOB_HUMAN
21,APOE_HUMAN
22,APTX_HUMAN
23,APT_HUMAN
24,ARGI1_HUMAN
25,ARLY_HUMAN
26,ASAH1_HUMAN
27,ASPG_HUMAN
28,ATM_HUMAN
29,ATN1_HUMAN
30,ATP7A_HUMAN
31,AUHM_HUMAN
32,B3GL2_HUMAN
33,B4GA1_HUMAN
34,BCS1_HUMAN
35,BGAL_HUMAN
36,BSND_HUMAN
37,BTD_HUMAN
38,CACP_HUMAN
39,CAN3_HUMAN
40,CASR_HUMAN
41,CBSL_HUMAN
42,CBS_HUMAN
43,CDAN1_HUMAN
44,CERU_HUMAN
45,CGL_HUMAN
46,CHKB_HUMAN
47,CHSTE_HUMAN
48,CLCKB_HUMAN
49,CLN3_HUMAN
50,CLN6_HUMAN
51,COG1_HUMAN
52,CP17A_HUMAN
53,CP27A_HUMAN
54,CPSM_HUMAN
55,CPT1A_HUMAN
56,CPT1B_HUMAN
57,CTNS_HUMAN
58,CUBN_HUMAN
59,D2HDH_HUMAN
60,DAG1_HUMAN
61,DCMC_HUMAN
62,DCUP_HUMAN
63,DDC_HUMAN
64,DGUOK_HUMAN
65,DHB4_HUMAN
66,DHC24_HUMAN
67,DHE3_HUMAN
68,DHPR_HUMAN
69,DLDH_HUMAN
70,DNA2_HUMAN
71,DNJC5_HUMAN
72,DOLK_HUMAN
73,DOPO_HUMAN
74,DPM1_HUMAN
75,DPM2_HUMAN
76,DPM3_HUMAN
77,DPOG1_HUMAN
78,DPOG2_HUMAN
79,DPYD_HUMAN
80,DPYS_HUMAN
81,DYR_HUMAN
82,DYSF_HUMAN
83,EAA3_HUMAN
84,ECHA_HUMAN
85,ECM1_HUMAN
86,ENOB_HUMAN
87,ETFA_HUMAN
88,ETFB_HUMAN
89,ETFD_HUMAN
90,ETHE1_HUMAN
91,F16P1_HUMAN
92,FA2H_HUMAN
93,FKRP_HUMAN
94,FKTN_HUMAN
95,FOLR1_HUMAN
96,FRDA_HUMAN
