row_id,datatype_value
1,100
2,10020
3,10128
4,10157
5,10165
6,10329
7,10577
8,10585
9,1075
10,10841
11,10916
12,11019
13,11041
14,1120
15,11232
16,11253
17,113189
18,116519
19,1175
20,1188
21,1200
22,1201
23,1244
24,131118
25,132158
26,1356
27,1373
28,1374
29,1375
30,1384
31,146059
32,148738
33,148789
34,1491
35,1497
36,153201
37,1586
38,1593
39,1605
40,1621
41,1629
42,1644
43,1716
44,1718
45,1719
46,1738
47,175
48,1763
49,178
50,18
51,1806
52,1807
53,1822
54,1893
55,19
56,2027
57,203859
58,2108
59,2109
60,2110
61,215
62,2203
63,2218
64,2235
65,226
66,2271
67,22845
68,23175
69,23417
70,23474
71,2348
72,23556
73,2395
74,246243
75,249
76,2517
77,2538
78,2542
79,2584
80,2593
81,25974
82,2623
83,2628
84,2629
85,2632
86,2639
87,2643
88,2645
89,26503
90,2678
91,270
92,27034
93,2710
94,2717
95,2720
96,27232
97,27249
98,2746
99,2752
100,2767
101,285362
102,291
103,2937
104,29954
105,2998
106,3028
107,3030
108,3033
109,3077
110,3081
111,3145
112,3155
113,3242
114,3251
115,3295
116,338
117,340024
118,3425
119,3479
120,348
121,353
122,36
123,3712
124,3758
125,38
126,383
127,3852
128,3930
129,3931
130,3939
131,3945
132,3988
133,3990
134,4000
135,4125
136,4126
137,4143
138,427
139,4329
140,435
141,4351
142,4524
143,4547
144,4548
145,4552
146,4598
147,4620
148,4668
149,472
150,4864
151,4942
152,4952
153,4976
154,50484
155,5053
156,50814
157,5092
158,51099
159,51128
160,51604
161,5213
162,5236
163,5255
164,5256
165,5257
166,5261
167,5265
168,5277
169,538
170,5428
171,54344
172,54658
173,54716
174,5476
175,54840
176,549
177,54982
178,551
179,55157
180,55163
181,55343
182,5538
183,55624
184,55630
185,56172
186,5625
187,5631
188,5660
189,56652
190,56922
191,56983
192,57817
193,5836
194,5837
195,5860
196,593
197,594
198,5979
199,6125
200,6135
201,6165
202,617
203,6201
204,6204
205,6218
206,6223
207,6229
208,6231
209,6309
210,6342
211,64087
212,6442
213,6445
214,64788
215,6505
216,65080
217,6513
218,6514
219,6523
220,6557
221,6559
222,6576
223,6697
224,6718
225,6833
226,686
227,6901
228,6999
229,7018
230,7036
231,7054
232,7084
233,7156
234,7274
235,728294
236,7369
237,7389
238,7390
239,7809
240,788
241,79147
242,79152
243,79158
244,79783
245,79944
246,80270
247,8029
248,80331
249,80704
250,81693
251,825
252,8291
253,8398
254,84197
255,846
256,84892
257,8659
258,875
259,8803
260,8813
261,8818
262,8869
263,8942
264,9056
265,93183
266,9382
