row_id,datatype_value
1,1
2,100
3,101
4,1012
5,104
6,1047
7,1054
8,1061
9,107
10,1083
11,1085
12,1086
13,11
14,111
15,1110
16,1114
17,112
18,1120
19,1121
20,1122
21,1124
22,1125
23,1130
24,114
25,1141
26,1145
27,1147
28,117
29,1241
30,125
31,1251
32,1252
33,1257
34,1258
35,1259
36,1283
37,1284
38,1289
39,1297
40,1299
41,1336
42,135
43,1369
44,1372
45,1405
46,142
47,145
48,15
49,159
50,16
51,161
52,163
53,165
54,166
55,172
56,174
57,177
58,178
59,18
60,183
61,191
62,194
63,195
64,196
65,197
66,199
67,202
68,203
69,204
70,206
71,208
72,214
73,217
74,22
75,223
76,228
77,229
78,23
79,236
80,237
81,24
82,241
83,25
84,258
85,259
86,261
87,263
88,267
89,268
90,27
91,274
92,28
93,280
94,284
95,288
96,292
97,293
98,296
99,297
100,299
101,3
102,30
103,301
104,302
105,303
106,304
107,305
108,306
109,307
110,309
111,31
112,311
113,316
114,319
115,322
116,336
117,338
118,339
119,341
120,342
121,344
122,352
123,353
124,354
125,36
126,360
127,371
128,379
129,38
130,380
131,387
132,39
133,398
134,399
135,4
136,40
137,400
138,402
139,409
140,411
141,418
142,425
143,446
144,457
145,47
146,474
147,480
148,481
149,482
150,483
151,484
152,485
153,487
154,489
155,49
156,490
157,491
158,492
159,495
160,497
161,499
162,5
163,50
164,500
165,501
166,503
167,507
168,51
169,512
170,525
171,528
172,537
173,542
174,55
175,554
176,56
177,561
178,562
179,563
180,567
181,568
182,57
183,58
184,581
185,582
186,59
187,6
188,600
189,604
190,611
191,618
192,62
193,63
194,64
195,640
196,641
197,642
198,645
199,65
200,658
201,661
202,671
203,71
204,722
205,723
206,724
207,726
208,727
209,732
210,734
211,750
212,753
213,76
214,760
215,798
216,80
217,82
218,83
219,836
220,872
221,88
222,889
223,89
224,90
225,916
226,924
227,93
228,934
229,935
230,936
231,937
232,942
233,944
234,945
235,946
236,961
