row_id,datatype_value
1,
2,1.1.1.-; 1.1.1.181
3,1.1.1.153
4,1.1.1.170
5,1.1.1.27
6,1.1.1.35
7,1.1.1.35; 1.1.1.51; 1.1.1.178
8,1.1.1.n12; 4.2.1.107; 4.2.1.119
9,1.1.99.-
10,1.1.99.2
11,1.13.11.11
12,1.13.11.18
13,1.13.11.27
14,1.13.11.5
15,1.14.14.19; 1.14.14.32
16,1.14.15.15
17,1.14.16.1
18,1.14.16.2
19,1.14.17.1
20,1.14.18.-
21,1.14.19.20
22,1.16.1.-
23,1.16.1.8
24,1.16.3.1
25,1.17.4.1
26,1.2.1.18; 1.2.1.27
27,1.2.1.88
28,1.2.4.4
29,1.3.1.2
30,1.3.1.3
31,1.3.1.70
32,1.3.1.72
33,1.3.8.-
34,1.3.8.4
35,1.3.8.5
36,1.3.8.6
37,1.4.1.3
38,1.4.3.5
39,1.5.1.20
40,1.5.1.3
41,1.5.1.34
42,1.5.1.8; 1.5.1.9
43,1.5.5.1
44,1.5.5.2
45,1.8.1.4
46,1.8.3.7
47,2.-.-.-
48,2.1.1.13
49,2.1.1.2
50,2.1.1.20
51,2.1.2.5; 4.3.1.4
52,2.1.4.1
53,2.3.1.-; 4.2.1.17; 1.1.1.211
54,2.3.1.168
55,2.3.1.176
56,2.3.1.21
57,2.3.1.43
58,2.3.1.51
59,2.3.1.7
60,2.3.1.9
61,2.4.1.-
62,2.4.1.-; 2.4.2.26
63,2.4.1.1
64,2.4.1.109
65,2.4.1.11
66,2.4.1.17
67,2.4.1.18
68,2.4.1.198
69,2.4.1.25; 3.2.1.33
70,2.4.1.312
71,2.4.1.313
72,2.4.1.83
73,2.4.2.-
74,2.4.2.7
75,2.4.2.8
76,2.4.99.9
77,2.5.1.6
78,2.5.1.61
79,2.6.1.13
80,2.6.1.19; 2.6.1.22
81,2.7.1.1
82,2.7.1.108
83,2.7.1.11
84,2.7.1.113
85,2.7.1.183
86,2.7.1.21
87,2.7.1.30
88,2.7.1.31
89,2.7.1.32; 2.7.1.82
90,2.7.1.36
91,2.7.1.6
92,2.7.10.1
93,2.7.11.1
94,2.7.11.19
95,2.7.6.1
96,2.7.7.7
97,2.7.8.17
98,2.8.1.8
99,2.8.2.35
100,2.8.3.13
101,3.1.-.-; 3.6.4.12
102,3.1.1.13
103,3.1.1.3
104,3.1.1.4
105,3.1.11.7; 3.1.12.2
106,3.1.2.22
107,3.1.26.-
108,3.1.26.4
109,3.1.3.1
110,3.1.3.11
111,3.1.3.36; 3.1.3.56; 3.1.3.86
112,3.1.3.4
113,3.1.3.9
114,3.2.1.113
115,3.2.1.183; 2.7.1.60
116,3.2.1.22
117,3.2.1.23
118,3.2.1.24
119,3.2.1.25
120,3.2.1.45; 2.4.1.-; 3.2.1.104
121,3.2.1.49
122,3.2.1.51
123,3.2.1.76
124,3.4.14.1
125,3.4.14.9
126,3.4.16.5
127,3.4.19.13; 2.3.2.2; 3.4.19.14
128,3.4.22.54
129,3.5.1.12
130,3.5.1.23; 3.5.1.-
131,3.5.1.26
132,3.5.2.2
133,3.5.3.1
134,3.5.4.16
135,3.5.4.4
136,3.5.4.6
137,3.6.4.12
138,3.6.5.5
139,3.7.1.3
140,4.1.1.28
141,4.1.1.37
142,4.1.1.9
143,4.1.2.13
144,4.1.3.4
145,4.2.1.11
146,4.2.1.18; 4.2.1.56
147,4.2.1.2
148,4.2.1.22
149,4.2.1.75
150,4.2.1.96
151,4.3.2.1
152,4.4.1.1
153,4.99.1.1
154,5.3.1.8
155,5.4.2.2
156,5.6.2.1
157,6.1.1.12
158,6.2.1.5
159,6.3.1.2; 2.3.1.225
160,6.3.2.3
161,6.3.4.16
162,6.4.1.4
163,7.2.2.8
164,7.6.2.1
165,7.6.2.2
166,7.6.2.4
