Entry	EC number
P00813	3.5.4.4
Q9Y223	3.2.1.183; 2.7.1.60
P42704	
Q9UDR5	1.5.1.8; 1.5.1.9
Q9UJS0	
Q9Y2B1	2.4.2.-
P61916	
Q9Y6A1	2.4.1.109
P53634	3.4.14.1
O95954	2.1.2.5; 4.3.1.4
Q9UNF1	
O43766	2.8.1.8
O43505	2.4.1.-
Q9Y259	2.7.1.32; 2.7.1.82
Q9UHN1	
Q9UKM7	3.2.1.113
Q8NCH0	2.8.2.35
Q6Q788	
P53680	
P51801	
O14773	3.4.14.9
Q13286	
Q92887	7.6.2.2
Q96DA6	
Q8IVS8	2.7.1.31
P00450	1.16.3.1
P31327	6.3.4.16
P50416	2.3.1.21
Q92523	2.3.1.21
P43155	2.3.1.7
Q8IWY9	
Q6ZVN8	
Q8NCR0	2.4.1.313
P32929	4.4.1.1
O60931	
Q495M3	
P05093	1.14.14.19; 1.14.14.32
Q02318	1.14.15.15
Q14118	
P09172	1.14.17.1
P11182	2.3.1.168
P20711	4.1.1.28
Q16854	2.7.1.113
Q15392	1.3.1.72
P00374	1.5.1.3
P09622	1.8.1.4
P20933	3.5.1.26
P51530	3.1.-.-; 3.6.4.12
P35573	2.4.1.25; 3.2.1.33
P80404	2.6.1.19; 2.6.1.22
Q12882	1.3.1.2
Q14117	3.5.2.2
P54259	
Q16610	
O95477	7.6.2.1
P13929	4.2.1.11
Q75V66	
P13804	
P38117	
Q16134	1.5.5.1
P33897	7.6.2.4
P09467	3.1.3.11
O75072	2.4.2.-
P22830	4.99.1.1
P04075	4.1.2.13
P07954	4.2.1.2
Q9UPQ8	2.7.1.108
Q14693	3.1.3.4
O95822	4.1.1.9
O95571	1.13.11.18
P15328	
O95427	2.-.-.-
Q16595	1.16.3.1
O60930	3.1.26.4
P05186	3.1.3.1
P04066	3.2.1.51
P35575	3.1.3.9
O43826	
P51570	2.7.1.6
Q14353	2.1.1.2
Q9Y4U1	1.16.1.-
P15976	
P50440	2.1.4.1
P04062	3.2.1.45; 2.4.1.-; 3.2.1.104
Q04446	2.4.1.18
Q92947	1.3.8.6
P30793	3.5.4.16
P35557	2.7.1.1
Q9NRA2	
P19440	3.4.19.13; 2.3.2.2; 3.4.19.14
P23109	3.5.4.6
Q9UKU7	1.3.8.-
P32189	2.7.1.30
P06280	3.2.1.22
P16278	3.2.1.23
Q14749	2.1.1.20
Q9H3L0	
P00367	1.4.1.3
P15104	6.3.1.2; 2.3.1.225
P29992	
Q8NBK3	1.8.3.7
P12235	
P48637	6.3.2.3
Q9UKY4	2.4.1.109
P54840	2.4.1.11
Q99714	1.1.1.35; 1.1.1.51; 1.1.1.178
P40939	2.3.1.-; 4.2.1.17; 1.1.1.211
Q16836	1.1.1.35
Q30201	
Q93099	1.13.11.5
P08397	2.5.1.61
P35914	4.1.3.4
P32754	1.13.11.27
P00492	2.4.2.8
P51659	1.1.1.n12; 4.2.1.107; 4.2.1.119
P04114	
Q695T7	
P35475	3.2.1.76
P05019	
P02649	
P07741	2.4.2.7
P45954	1.3.8.5
P26440	1.3.8.4
P48048	
P24752	2.3.1.9
P05089	3.5.3.1
P13647	
Q14739	1.3.1.70
P04180	2.3.1.43
P00338	1.1.1.27
P07195	1.1.1.27
P38571	3.1.1.13
P11150	3.1.1.3
P02545	
O00754	3.2.1.24
O00462	3.2.1.25
Q00266	2.5.1.6
Q13510	3.5.1.23; 3.5.1.-
Q02252	1.2.1.18; 1.2.1.27
P04424	4.3.2.1
P34949	5.3.1.8
P42898	1.5.1.20
P55157	
Q99707	2.1.1.13
Q9UBK8	1.16.1.8
Q03426	2.7.1.36
Q9UKX2	
P17050	3.2.1.49
Q13315	2.7.11.1
O15118	
P04181	2.6.1.13
Q01968	3.1.3.36; 3.1.3.56; 3.1.3.86
O60313	3.6.5.5
Q7LG56	1.17.4.1
P00439	1.14.16.1
Q15738	1.1.1.170
P61457	4.2.1.96
Q8WTS1	2.3.1.51
Q9Y6B6	
Q969N2	
P08237	2.7.1.11
P36871	5.4.2.2
P46020	
P46019	
Q93100	
P15735	2.7.11.19
P01009	
P37287	2.4.1.198
Q04656	7.2.2.8
P54098	2.7.7.7
Q9P2X0	
P22309	2.4.1.17
Q9NP91	
P10619	3.4.16.5
Q7Z2E3	3.1.11.7; 3.1.12.2
Q13825	4.2.1.18; 4.2.1.56
Q9NWW5	
P01185	
Q6PI48	6.1.1.12
Q9NVS9	1.4.3.5
Q96A29	
P50897	3.1.2.22
