row_id,datatype_value
1,O95954
2,Q9UNF1
3,O43766
4,O43505
5,Q9Y259
6,Q9UHN1
7,Q9UKM7
8,Q8NCH0
9,Q6Q788
10,P53680
11,P51801
12,O14773
13,Q13286
14,Q92887
15,Q96DA6
16,Q8IVS8
17,P00450
18,P31327
19,P50416
20,Q92523
21,P43155
22,Q8IWY9
23,Q6ZVN8
24,Q8NCR0
25,P32929
26,O60931
27,Q495M3
28,P05093
29,Q02318
30,Q14118
31,P09172
32,P11182
33,P20711
34,Q16854
35,Q15392
36,P00374
37,P09622
38,P20933
39,P51530
40,P35573
41,P80404
42,Q12882
43,Q14117
44,P54259
45,Q16610
46,O95477
47,P13929
48,Q75V66
49,P13804
50,P38117
51,Q16134
52,P33897
53,P09467
54,O75072
55,P22830
56,P04075
57,P07954
58,Q9UPQ8
59,Q14693
60,O95822
61,O95571
62,P15328
63,O95427
64,Q16595
65,O60930
66,P05186
67,P04066
68,P35575
69,O43826
70,P51570
71,Q14353
72,Q9Y4U1
73,P15976
74,P50440
75,P04062
76,Q04446
77,Q92947
78,P30793
79,P35557
80,Q9NRA2
81,P19440
82,P23109
83,Q9UKU7
84,P32189
85,P06280
86,P16278
87,Q14749
88,Q9H3L0
89,P00367
90,P15104
91,P29992
92,Q8NBK3
93,P12235
94,P48637
95,Q9UKY4
96,P54840
97,Q99714
98,P40939
99,Q16836
100,Q30201
101,Q93099
102,P08397
103,P35914
104,P32754
105,P00492
106,P51659
107,P04114
108,Q695T7
109,P35475
110,P05019
111,P02649
112,P07741
113,P45954
114,P26440
115,P48048
116,P24752
117,P05089
118,P13647
119,Q14739
120,P04180
121,P00338
122,P07195
123,P38571
124,P11150
125,P02545
126,O00754
127,O00462
128,Q00266
129,Q13510
130,Q02252
131,P04424
132,P34949
133,P42898
134,P55157
135,Q99707
136,Q9UBK8
137,Q03426
138,Q9UKX2
139,P17050
140,Q13315
141,O15118
142,P04181
143,Q01968
144,O60313
145,Q7LG56
146,P00439
147,Q15738
148,P61457
149,Q8WTS1
150,Q9Y6B6
151,Q969N2
152,P08237
153,P36871
154,P46020
155,P46019
156,Q93100
157,P15735
158,P01009
159,P37287
160,Q04656
161,P54098
162,Q9P2X0
163,P22309
164,Q9NP91
165,P10619
166,Q7Z2E3
167,Q13825
168,Q9NWW5
169,P01185
170,Q6PI48
171,Q9NVS9
172,Q96A29
173,P50897
174,Q8WZA1
175,Q6P5W5
176,Q9HCJ1
177,O43272
178,P60891
179,P07602
180,Q96RR1
181,Q96RQ3
182,Q8NBL1
183,P81172
184,P06737
185,P11217
186,P09417
187,P12694
188,P21953
189,P07949
190,P46777
191,P62913
192,P18077
193,Q9Y276
194,P62081
195,P46783
196,P08708
197,P39019
198,P62847
199,P62854
200,O75845
201,P22307
202,Q9HCC0
203,Q16586
204,Q13326
205,Q96S06
206,P43005
207,Q9H9J2
208,P11166
209,P11168
210,P13866
211,Q13621
212,P55017
213,P53007
214,P35270
215,P51857
216,Q09428
217,P43251
218,Q16635
219,P48775
220,P02787
221,Q9UP52
222,P07101
223,O00142
224,Q13472
225,P49638
226,Q8N465
227,P07911
228,P06132
229,P10746
230,Q8WZ55
231,O43772
232,Q9H9S5
233,Q7L5A8
234,Q3T906
235,Q9HAC7
236,Q9H9P8
237,Q9H2F3
238,O60494
239,Q9H3Z4
240,Q9BZV2
241,Q9BXJ7
242,P20807
243,O75923
244,O60733
245,Q9H5K3
246,P41180
247,Q8NAT1
248,P30038
249,P0DN79
250,P35520
251,Q9P2R7
252,O60762
253,O94777
254,Q9UNP4
255,Q16719
256,Q9UM01
257,Q9H3S5
258,Q8WTW3
