row_id,datatype_value
1,102700
2,105650
3,118600
4,118610
5,121270
6,125370
7,125700
8,128230
9,136120
10,140350
11,144650
12,145750
13,145980
14,145981
15,151660
16,151670
17,151800
18,157640
19,162000
20,162300
21,162350
22,176000
23,176100
24,177000
25,179850
26,200100
27,201100
28,201910
29,202110
30,203400
31,203500
32,203700
33,203750
34,204200
35,204500
36,207800
37,207900
38,208400
39,208900
40,208920
41,209300
42,210200
43,212138
44,213700
45,215140
46,215720
47,218800
48,219500
49,219750
50,219800
51,220110
52,220111
53,220120
54,222700
55,222730
56,222748
57,223360
58,224120
59,227810
60,228000
61,229100
62,229300
63,229700
64,230000
65,230200
66,230500
67,230600
68,230650
69,230800
70,230900
71,231005
72,231530
73,231670
74,231680
75,231690
76,231950
77,232200
78,232220
79,232400
80,232600
81,232700
82,232800
83,233910
84,234500
85,235200
86,235555
87,236200
88,236270
89,236670
90,236792
91,236795
92,236800
93,237300
94,237400
95,237500
96,238700
97,239500
98,239510
99,240600
100,240800
101,241200
102,241500
103,241510
104,242600
105,243500
106,245010
107,245900
108,246450
109,246650
110,246700
111,246900
112,247100
113,248360
114,248510
115,248600
116,249900
117,250850
118,250940
119,250950
120,252500
121,253260
122,253280
123,253600
124,253601
125,253800
126,255120
127,256540
128,256600
129,256730
130,257220
131,258450
132,258870
133,260920
134,261000
135,261100
136,261515
137,261600
138,261630
139,261640
140,261750
141,263570
142,263700
143,263800
144,264070
145,264300
146,264800
147,266130
148,266265
149,268200
150,269920
151,271245
152,272200
153,274270
154,275630
155,277400
156,277410
157,277460
158,278000
159,300100
160,300322
161,300438
162,300559
163,300818
164,300868
165,300971
166,301500
167,301835
168,302060
169,306000
170,307030
171,308050
172,309000
173,309400
174,520000
175,530000
176,535000
177,540000
178,545000
179,550500
180,600627
181,600649
182,600721
183,600740
184,600890
185,601110
186,601678
187,601776
188,601780
189,601987
190,602360
191,602390
192,602398
193,602473
194,602485
195,602522
196,602541
197,602579
198,603147
199,603174
200,603358
201,603471
202,604091
203,604250
204,604290
205,604369
206,605407
207,605637
208,605820
209,606175
210,606664
211,606762
212,606777
213,606785
214,606812
215,606824
216,607014
217,607015
218,607091
219,607155
220,607330
221,607364
222,607483
223,607625
224,607765
225,607906
226,608013
227,608099
228,608104
229,608158
230,608643
231,608747
232,608776
233,608779
234,608799
235,608896
236,609056
237,609242
238,609283
239,609286
240,609308
241,609458
242,610006
243,610090
244,610131
245,610198
246,610768
247,611105
248,611182
249,611209
250,611283
251,611307
252,611722
253,611881
254,612016
255,612073
256,612319
257,612736
258,612932
259,612933
260,612937
261,612953
262,613027
263,613068
264,613077
265,613150
266,613153
267,613154
268,613163
269,613489
270,613490
271,613612
272,613724
273,613839
274,614080
275,614128
276,614202
277,614462
278,614643
279,614723
280,614830
281,614921
282,615041
283,615042
284,615156
285,615181
286,615182
287,615249
288,615287
289,615395
290,615398
291,615511
292,615558
293,616479
294,616538
295,616896
296,617069
297,617070
298,617347
299,618098
