row_id,datatype_value
1,O15118
2,O43505
3,O43826
4,O60931
5,O75072
6,O75923
7,O95427
8,O95461
9,P00403
10,P00414
11,P01009
12,P02545
13,P02649
14,P02787
15,P05019
16,P07602
17,P07911
18,P11168
19,P12235
20,P15328
21,P15735
22,P21278
23,P23786
24,P38571
25,P39019
26,P41180
27,P43005
28,P46019
29,P48048
30,P49638
31,P51801
32,P53007
33,P53680
34,P54259
35,P55157
36,P61916
37,Q13286
38,Q13621
39,Q14118
40,Q14739
41,Q16586
42,Q16610
43,Q30201
44,Q695T7
45,Q6P5W5
46,Q6Q788
47,Q75V66
48,Q8WZ55
49,Q8WZA1
50,Q93100
51,Q969N2
52,Q96A29
53,Q96DA6
54,Q96RR1
55,Q96S06
56,Q9H2F3
57,Q9H3L0
58,Q9H3Z4
59,Q9H9J2
60,Q9H9S5
61,Q9HCJ1
62,Q9NRA2
63,Q9UJS0
64,Q9UM01
65,Q9UNF1
66,Q9Y276
67,Q9Y2B1
68,Q9Y4U1
