row_id,datatype_value
1,1
2,100
3,101
4,1012
5,104
6,1047
7,1054
8,1061
9,107
10,1083
11,1085
12,1086
13,11
14,111
15,1110
16,1114
17,112
18,1120
19,1121
20,1122
21,1124
22,1125
23,1130
24,114
25,1141
26,1145
27,1147
28,117
29,119
30,1241
31,125
32,1251
33,1252
34,1257
35,1258
36,1259
37,126
38,1281
39,1283
40,1284
41,1289
42,1297
43,1299
44,1336
45,135
46,1369
47,1372
48,1405
49,1410
50,142
51,145
52,15
53,159
54,16
55,161
56,163
57,165
58,166
59,172
60,174
61,177
62,178
63,18
64,183
65,191
66,194
67,195
68,196
69,197
70,199
71,202
72,203
73,204
74,206
75,208
76,214
77,217
78,22
79,223
80,228
81,229
82,23
83,236
84,237
85,24
86,241
87,25
88,258
89,259
90,261
91,263
92,267
93,268
94,27
95,274
96,28
97,280
98,284
99,288
100,292
101,293
102,296
103,297
104,299
105,3
106,30
107,301
108,302
109,303
110,304
111,305
112,306
113,307
114,309
115,31
116,311
117,316
118,319
119,322
120,323
121,324
122,326
123,327
124,330
125,336
126,338
127,339
128,341
129,342
130,343
131,344
132,345
133,352
134,353
135,354
136,36
137,360
138,371
139,379
140,38
141,380
142,387
143,388
144,39
145,398
146,399
147,4
148,40
149,400
150,402
151,409
152,411
153,418
154,425
155,446
156,457
157,47
158,474
159,480
160,481
161,482
162,483
163,484
164,485
165,487
166,489
167,49
168,490
169,491
170,492
171,495
172,497
173,499
174,5
175,50
176,500
177,501
178,503
179,507
180,51
181,512
182,525
183,528
184,537
185,542
186,55
187,554
188,56
189,561
190,562
191,563
192,567
193,568
194,57
195,58
196,581
197,582
198,59
199,6
200,600
201,604
202,611
203,615
204,618
205,62
206,63
207,64
208,640
209,641
210,642
211,645
212,65
213,658
214,661
215,671
216,71
217,722
218,723
219,724
220,726
221,727
222,732
223,734
224,750
225,753
226,76
227,760
228,798
229,80
230,82
231,83
232,836
233,872
234,88
235,889
236,89
237,90
238,916
239,924
240,93
241,934
242,935
243,936
244,937
245,942
246,944
247,945
248,946
249,961
