row_id,datatype_value
1,DB00005
2,DB00012
3,DB00016
4,DB00020
5,DB00026
6,DB00028
7,DB00030
8,DB00033
9,DB00034
10,DB00035
11,DB00051
12,DB00052
13,DB00053
14,DB00060
15,DB00061
16,DB00065
17,DB00067
18,DB00073
19,DB00083
20,DB00090
21,DB00091
22,DB00098
23,DB00099
24,DB00103
25,DB00104
26,DB00111
27,DB00112
28,DB00114
29,DB00115
30,DB00118
31,DB00119
32,DB00121
33,DB00123
34,DB00125
35,DB00126
36,DB00129
37,DB00130
38,DB00133
39,DB00136
40,DB00140
41,DB00143
42,DB00145
43,DB00147
44,DB00148
45,DB00149
46,DB00151
47,DB00152
48,DB00155
49,DB00158
50,DB00159
51,DB00162
52,DB00163
53,DB00165
54,DB00166
55,DB00169
56,DB00175
57,DB00178
58,DB00181
59,DB00182
60,DB00186
61,DB00188
62,DB00190
63,DB00200
64,DB00213
65,DB00227
66,DB00230
67,DB00232
68,DB00235
69,DB00244
70,DB00252
71,DB00273
72,DB00277
73,DB00282
74,DB00288
75,DB00311
76,DB00313
77,DB00321
78,DB00328
79,DB00331
80,DB00334
81,DB00348
82,DB00360
83,DB00375
84,DB00376
85,DB00390
86,DB00393
87,DB00396
88,DB00404
89,DB00413
90,DB00419
91,DB00421
92,DB00435
93,DB00437
94,DB00440
95,DB00443
96,DB00451
97,DB00458
98,DB00459
99,DB00472
100,DB00476
101,DB00477
102,DB00480
103,DB00494
104,DB00502
105,DB00509
106,DB00531
107,DB00533
108,DB00542
109,DB00555
110,DB00563
111,DB00564
112,DB00571
113,DB00583
114,DB00586
115,DB00593
116,DB00594
117,DB00608
118,DB00620
119,DB00624
120,DB00627
121,DB00630
122,DB00635
123,DB00636
124,DB00641
125,DB00650
126,DB00658
127,DB00672
128,DB00679
129,DB00682
130,DB00683
131,DB00687
132,DB00688
133,DB00695
134,DB00697
135,DB00700
136,DB00734
137,DB00741
138,DB00742
139,DB00746
140,DB00755
141,DB00761
142,DB00776
143,DB00783
144,DB00788
145,DB00808
146,DB00819
147,DB00829
148,DB0084
149,DB00847
150,DB00855
151,DB00860
152,DB00869
153,DB00877
154,DB00909
155,DB00915
156,DB00916
157,DB00926
158,DB00936
159,DB00951
160,DB00959
161,DB00973
162,DB00988
163,DB00993
164,DB00994
165,DB00996
166,DB00999
167,DB01001
168,DB01005
169,DB01012
170,DB01015
171,DB01022
172,DB01025
173,DB01026
174,DB01032
175,DB01037
176,DB01039
177,DB01041
178,DB01068
179,DB01076
180,DB01077
181,DB01080
182,DB01083
183,DB01098
184,DB01109
185,DB01115
186,DB01119
187,DB01124
188,DB01132
189,DB01151
190,DB01174
191,DB01186
192,DB01197
193,DB01200
194,DB01202
195,DB01205
196,DB01219
197,DB01233
198,DB01234
199,DB01235
200,DB01241
201,DB01247
202,DB01257
203,DB01277
204,DB01306
205,DB01323
206,DB01324
207,DB01325
208,DB01329
209,DB01345
210,DB01348
211,DB01373
212,DB01377
213,DB01390
214,DB01393
215,DB01394
216,DB01403
217,DB01432
218,DB01563
219,DB01586
220,DB01592
221,DB01593
222,DB01599
223,DB01606
224,DB01609
225,DB01611
226,DB01626
227,DB01783
228,DB01914
229,DB01956
230,DB02053
231,DB02209
232,DB02285
233,DB02329
234,DB02659
235,DB02691
236,DB02701
237,DB02709
238,DB02745
239,DB02772
240,DB02952
241,DB02959
242,DB03085
243,DB03147
244,DB03227
245,DB03256
246,DB03404
247,DB03485
248,DB03614
249,DB03756
250,DB03766
251,DB03793
252,DB03904
253,DB04075
254,DB04076
255,DB04159
256,DB04160
257,DB04173
258,DB04263
259,DB04272
260,DB04540
261,DB04552
262,DB04729
263,DB04789
264,DB04815
265,DB04844
266,DB04854
267,DB04931
268,DB05016
269,DB05018
270,DB05123
271,DB05134
272,DB05271
273,DB05294
274,DB05386
275,DB05481
276,DB05812
277,DB05990
278,DB06151
279,DB06168
280,DB06210
281,DB06262
282,DB06273
283,DB06281
284,DB06285
285,DB06287
286,DB06372
287,DB06637
288,DB06667
289,DB06720
290,DB06723
291,DB06742
292,DB06755
293,DB06756
294,DB06775
295,DB06777
296,DB06819
297,DB07425
298,DB08809
299,DB08826
300,DB08830
301,DB08834
302,DB08842
303,DB08860
304,DB08875
305,DB08876
306,DB08883
307,DB08908
308,DB08909
309,DB09039
310,DB09043
311,DB09046
312,DB09081
313,DB09105
314,DB09115
315,DB09125
316,DB09130
317,DB09144
318,DB09153
319,DB09154
320,DB09210
321,DB09241
322,DB09269
323,DB09270
324,DB09278
325,DB09321
326,DB09341
327,DB09393
328,DB09395
329,DB09422
330,DB09449
331,DB09481
332,DB09536
333,DB09539
334,DB11094
335,DB11098
336,DB11133
337,DB11135
338,DB11251
339,DB11563
340,DB11599
341,DB11635
342,DB11672
343,DB11677
344,DB11735
345,DB11859
346,DB11917
347,DB11981
348,DB11991
349,DB12273
350,DB12319
351,DB12351
352,DB12374
353,DB12422
354,DB12449
355,DB12513
356,DB12528
357,DB12536
358,DB12537
359,DB12783
360,DB12839
361,DB12890
362,DB12907
363,DB13173
364,DB13178
365,DB13191
366,DB13226
367,DB13245
368,DB13257
369,DB13387
370,DB13862
371,DB13873
372,DB13959
373,DB13961
374,DB14002
375,DB14003
376,DB14094
377,DB14098
378,DB14104
379,DB14151
380,DB14307
381,DB14476
382,DB14500
383,DB14502
384,DB14507
385,DB14513
386,DB14555
387,DB14573
388,DB14644
389,DB14681
390,DB14712
391,DB14751
392,DB14778
393,DB14872
394,DB14933
395,DB14992
396,DB15066
397,DB15146
398,DB6756
