row_id,datatype_value
1,100
2,10020
3,100288984
4,100499418
5,100499469
6,10128
7,10157
8,10165
9,10195
10,10329
11,10466
12,10577
13,10585
14,106480318
15,107105281
16,107105283
17,107133489
18,107133490
19,107436001
20,107436003
21,107436004
22,107436006
23,107436007
24,1075
25,10841
26,10916
27,109729144
28,109729150
29,109729151
30,109729152
31,109729153
32,109729154
33,109729155
34,109729156
35,11019
36,11041
37,111188162
38,1120
39,112163599
40,112163614
41,112268489
42,112272547
43,112272562
44,11232
45,112340375
46,112390311
47,11253
48,113189
49,116519
50,117015
51,1175
52,1188
53,1200
54,1201
55,1244
56,131118
57,132158
58,1356
59,1373
60,1374
61,1375
62,1376
63,1384
64,146059
65,148738
66,148789
67,1491
68,1497
69,153201
70,1585
71,1586
72,1589
73,1593
74,1605
75,1621
76,1629
77,1644
78,170683
79,1716
80,1718
81,1719
82,1738
83,175
84,1763
85,178
86,18
87,1806
88,1807
89,1822
90,1893
91,19
92,2027
93,203859
94,2108
95,2109
96,2110
97,215
98,2203
99,2218
100,2235
101,226
102,2271
103,22845
104,22940
105,23175
106,23417
107,23474
108,2348
109,23556
110,2395
111,246243
112,249
113,2517
114,2538
115,2542
116,25839
117,2584
118,2593
119,25974
120,2623
121,2628
122,2629
123,2632
124,2639
125,2643
126,2645
127,26503
128,2678
129,2694
130,270
131,27034
132,2710
133,2717
134,2720
135,27232
136,27249
137,2746
138,2752
139,2767
140,285362
141,291
142,2937
143,29929
144,29954
145,2998
146,3027
147,3028
148,3030
149,3033
150,3077
151,3081
152,3145
153,3155
154,3242
155,3251
156,3293
157,3295
158,338
159,340024
160,3425
161,3479
162,348
163,353
164,36
165,368
166,3712
167,3758
168,378050
169,378940
170,38
171,383
172,3852
173,3930
174,3931
175,3939
176,3945
177,3988
178,3990
179,4000
180,4125
181,4126
182,4143
183,4164
184,4165
185,427
186,4282
187,4329
188,435
189,4351
190,4504
191,4512
192,4513
193,4514
194,4519
195,4524
196,4535
197,4538
198,4539
199,4540
200,4541
201,4547
202,4548
203,4549
204,4552
205,4556
206,4564
207,4566
208,4567
209,4572
210,4574
211,4575
212,4598
213,4620
214,4668
215,472
216,4864
217,4942
218,4952
219,4976
220,50484
221,5053
222,50814
223,5092
224,51099
225,51128
226,51604
227,5213
228,5236
229,5255
230,5256
231,5257
232,5261
233,5265
234,5277
235,538
236,5428
237,54344
238,54658
239,54716
240,5476
241,54840
242,549
243,54982
244,551
245,55157
246,55163
247,55343
248,5538
249,55624
250,55630
251,55687
252,56172
253,5625
254,5631
255,5660
256,56652
257,56922
258,56983
259,56997
260,57091
261,57697
262,57817
263,5836
264,5837
265,5860
266,593
267,594
268,5979
269,6052
270,6125
271,6135
272,6165
273,617
274,6201
275,6204
276,6218
277,6223
278,6229
279,6231
280,6309
281,6342
282,64087
283,6442
284,6445
285,64788
286,6505
287,65080
288,6513
289,6514
290,65217
291,6523
292,6557
293,6559
294,6576
295,6697
296,6718
297,6833
298,686
299,6901
300,6999
301,7018
302,7036
303,7054
304,7084
305,7156
306,7274
307,728294
308,7369
309,7389
310,7390
311,7809
312,788
313,79053
314,79147
315,79152
316,79158
317,79783
318,79796
319,79944
320,80270
321,8029
322,80331
323,80704
324,81693
325,825
326,8291
327,8398
328,84197
329,84342
330,846
331,84892
332,85365
333,8659
334,875
335,8803
336,8813
337,8818
338,8869
339,8942
340,9056
341,91949
342,9215
343,93183
344,9382
345,94004
346,94135
347,979
