row_id,datatype_value
1,K00016
2,K00022
3,K00072
4,K00109
5,K00140
6,K00166
7,K00167
8,K00207
9,K00227
10,K00251
11,K00252
12,K00253
13,K00261
14,K00275
15,K00287
16,K00294
17,K00297
18,K00311
19,K00318
20,K00357
21,K00382
22,K00412
23,K00451
24,K00453
25,K00457
26,K00488
27,K00500
28,K00501
29,K00503
30,K00512
31,K00513
32,K00542
33,K00548
34,K00552
35,K00597
36,K00613
37,K00626
38,K00650
39,K00688
40,K00693
41,K00699
42,K00700
43,K00721
44,K00728
45,K00759
46,K00760
47,K00789
48,K00819
49,K00849
50,K00850
51,K00857
52,K00864
53,K00869
54,K00871
55,K00902
56,K00904
57,K00948
58,K01052
59,K01074
60,K01077
61,K01084
62,K01099
63,K01189
64,K01192
65,K01196
66,K01201
67,K01204
68,K01206
69,K01217
70,K01275
71,K01279
72,K01435
73,K01444
74,K01464
75,K01476
76,K01488
77,K01490
78,K01495
79,K01556
80,K01578
81,K01593
82,K01599
83,K01623
84,K01640
85,K01679
86,K01689
87,K01697
88,K01719
89,K01724
90,K01749
91,K01755
92,K01758
93,K01772
94,K01809
95,K01835
96,K01876
97,K01900
98,K01915
99,K01948
100,K01968
101,K01969
102,K02256
103,K02261
104,K02262
105,K02332
106,K02333
107,K02868
108,K02917
109,K02932
110,K02947
111,K02962
112,K02966
113,K02974
114,K02976
115,K02993
116,K03165
117,K03370
118,K03469
119,K03521
120,K03522
121,K03644
122,K03841
123,K03843
124,K03845
125,K03846
126,K03848
127,K03849
128,K03857
129,K03878
130,K03881
131,K03882
132,K03883
133,K03884
134,K03984
135,K04524
136,K04612
137,K04635
138,K04728
139,K04995
140,K05018
141,K05032
142,K05048
143,K05126
144,K05242
145,K05284
146,K05285
147,K05292
148,K05334
149,K05459
150,K05607
151,K05612
152,K05626
153,K05641
154,K05666
155,K05669
156,K05675
157,K05863
158,K06265
159,K07190
160,K07253
161,K07299
162,K07433
163,K07515
164,K07593
165,K07605
166,K07748
167,K07953
168,K08105
169,K08171
170,K08239
171,K08573
172,K08683
173,K08764
174,K08765
175,K08766
176,K08869
177,K08900
178,K09025
179,K09182
180,K09478
181,K09525
182,K09539
183,K09654
184,K09658
185,K09659
186,K09666
187,K09668
188,K09699
189,K09828
190,K10207
191,K10352
192,K10742
193,K10808
194,K10863
195,K10896
196,K11529
197,K11538
198,K11827
199,K12301
200,K12309
201,K12311
202,K12348
203,K12359
204,K12382
205,K12385
206,K12386
207,K12389
208,K12405
209,K12407
210,K12408
211,K12409
212,K12564
213,K12565
214,K12641
215,K13289
216,K13443
217,K13444
218,K13511
219,K13524
220,K13624
221,K13649
222,K13667
223,K13699
224,K13867
225,K13990
226,K14156
227,K14157
228,K14158
229,K14209
230,K14425
231,K14426
232,K14462
233,K14463
234,K14610
235,K14615
236,K14616
237,K14618
238,K14710
239,K14736
240,K14740
241,K15100
242,K15105
243,K15109
244,K15279
245,K15728
246,K16343
247,K16500
248,K17079
249,K17425
250,K17547
251,K17680
252,K17686
253,K17725
254,K17964
255,K18204
256,K18207
257,K18259
258,K18261
259,K18274
260,K18592
261,K18703
262,K19054
263,K19331
264,K19480
265,K19523
266,K19531
267,K19532
268,K19703
269,K19872
270,K19873
271,K20288
272,K20291
273,K20292
274,K20294
275,K20295
276,K21027
277,K21032
278,K21052
279,K21456
280,K22283
281,K22734
282,K23100
283,K23106
284,K23555
285,K23741
286,K23867
