row_id,datatype_value
1,1
2,100
3,101
4,1012
5,104
6,1047
7,1054
8,1061
9,107
10,1083
11,1085
12,1086
13,11
14,111
15,1110
16,1114
17,112
18,1120
19,1121
20,1122
21,1124
22,1125
23,1130
24,114
25,1141
26,1145
27,1147
28,117
29,119
30,1241
31,125
32,1251
33,1252
34,1257
35,1258
36,1259
37,126
38,1281
39,1283
40,1284
41,1289
42,1297
43,1299
44,1336
45,135
46,1369
47,1372
48,1405
49,1410
50,142
51,145
52,15
53,159
54,16
55,161
56,163
57,165
58,166
59,172
60,174
61,177
62,178
63,18
64,183
65,191
66,194
67,195
68,196
69,197
70,199
71,202
72,203
73,204
74,206
75,208
76,214
77,217
78,22
79,223
80,228
81,229
82,23
83,236
84,237
85,24
86,241
87,25
88,258
89,259
90,261
91,263
92,267
93,268
94,27
95,274
96,28
97,280
98,284
99,288
100,292
101,293
102,296
103,297
104,299
105,3
106,30
107,301
108,302
109,303
110,304
111,305
112,306
113,307
114,309
115,31
116,311
117,316
118,319
119,322
120,323
121,324
122,326
123,327
124,330
125,336
126,338
127,339
128,341
129,342
130,343
131,344
132,345
133,352
134,353
135,354
136,36
137,360
138,361
139,371
140,379
141,38
142,380
143,387
144,388
145,39
146,398
147,399
148,4
149,40
150,400
151,402
152,409
153,411
154,418
155,425
156,446
157,457
158,47
159,474
160,480
161,481
162,482
163,483
164,484
165,485
166,487
167,489
168,49
169,490
170,491
171,492
172,495
173,497
174,499
175,5
176,50
177,500
178,501
179,503
180,507
181,51
182,512
183,525
184,528
185,537
186,542
187,55
188,554
189,56
190,561
191,562
192,563
193,567
194,568
195,57
196,58
197,581
198,582
199,59
200,6
201,600
202,604
203,611
204,615
205,618
206,62
207,63
208,64
209,640
210,641
211,642
212,645
213,65
214,658
215,661
216,671
217,71
218,722
219,723
220,724
221,726
222,727
223,732
224,734
225,750
226,753
227,76
228,760
229,798
230,80
231,82
232,83
233,836
234,872
235,88
236,889
237,89
238,90
239,916
240,924
241,93
242,934
243,935
244,936
245,937
246,942
247,944
248,945
249,946
250,961
