row_id,datatype_value
1,AASS
2,ABAT
3,ABCA1
4,ABCC2
5,ABCC6
6,ABCC8
7,ABCD1
8,ABHD5
9,ACAD8
10,ACADSB
11,ACAT1
12,ADA
13,ADCK3
14,AGA
15,AGL
16,AGXT
17,AKR1D1
18,ALDH4A1
19,ALDH6A1
20,ALDOA
21,ALG2
22,ALG3
23,ALG6
24,ALG8
25,ALG9
26,ALPL
27,AMN
28,AMPD1
29,ANKH
30,ANO5
31,AP2S1
32,APOA5
33,APOB
34,APOE
35,APRT
36,APTX
37,ARG1
38,ASAH1
39,ASL
40,ATM
41,ATN1
42,ATP7A
43,AUH
44,AVP
45,B3GALNT2
46,B3GLCT
47,B4GAT1
48,BCKDHA
49,BCKDHB
50,BCS1L
51,BSND
52,BTD
53,CABC1
54,CAPN3
55,CASR
56,CBS
57,CDAN1
58,CHKB
59,CHST14
60,CLCNKB
61,CLN3
62,CLN6
63,CLPP
64,COG1
65,COG4
66,COG5
67,COG7
68,COG8
69,CP
70,CPS1
71,CPT1A
72,CPT1B
73,CPT2
74,CRAT
75,CTH
76,CTNS
77,CTSA
78,CTSC
79,CUBN
80,CYP11B2
81,CYP17A1
82,CYP21A2
83,CYP27A1
84,D2HGDH
85,DAG1
86,DARS2
87,DBH
88,DBT
89,DCXR
90,DDC
91,DGUOK
92,DHCR24
93,DHFR
94,DLD
95,DNA2
96,DNAJC19
97,DNAJC5
98,DOLK
99,DPM1
100,DPM2
101,DPM3
102,DPYD
103,DPYS
104,DYSF
105,ECM1
106,ENO3
107,ERAL1
108,ETFA
109,ETFB
110,ETFDH
111,ETHE1
112,FA2H
113,FBP1
114,FECH
115,FH
116,FKRP
117,FKTN
118,FOLR1
119,FTCD
120,FUCA1
121,FXN
122,G6PC
123,GALK1
124,GALT1
125,GAMT
126,GATA1
127,GATM
128,GBA
129,GBE1
130,GCDH
131,GCH1
132,GCK
133,GGT1
134,GIF
135,GK
136,GLA
137,GLB1
138,GLUD1
139,GLUL
140,GLYCTK
141,GNA11
142,GNE
143,GNMT
144,GNPTAB
145,GSS
146,GYS2
147,HADH
148,HADHA
149,HAMP
150,HARS2
151,HEF
152,HFE
153,HGD
154,HJV
155,HMBS
156,HMGCL
157,HPD
158,HPRT1
159,HSD17B10
160,HSD17B3
161,HSD17B4
162,HSD3B7
163,IDUA
164,IGF1
165,ISPD
166,IVD
167,KCNJ1
168,KRT5
169,KYNU
170,L2HGDH
171,LARGE
172,LARS2
173,LBR
174,LCAT
175,LDHA
176,LDHB
177,LIAS
178,LIPA
179,LIPC
180,LMF1
181,LMNA
182,LPIN1
183,LRPPRC
184,MAGED2
185,MAN1B1
186,MAN2B1
187,MANBA
188,MAT1A
189,MCCC1
190,MCCC2
191,MLYCD
192,MMACHC
193,MMADHC
194,MPI
195,MRPL44
196,MT-CO1
197,MT-CO3
198,MT-CYB
199,MT-ND1
200,MT-ND4
201,MT-ND4L
202,MT-ND5
203,MT-ND6
204,MT-TE
205,MT-TH
206,MT-TK
207,MT-TL1
208,MT-TQ
209,MT-TS1
210,MT-TS2
211,MTHFR
212,MTR
213,MTRR
214,MTTC
215,MTTP
216,MVK
217,MYH2
218,NAGA
219,NPC1
220,NPC2
221,NSDHL
222,OAT
223,OCRL
224,OPA1
225,PAH
226,PCBD1
227,PFKM
228,PGK1
229,PGM1
230,PHKA1
231,PHKA2
232,PHKB
233,PHKG2
234,PIGA
235,PIGM
236,PIGN
237,PIGT
238,PLA2G6
239,PNPO
240,POGLUT1
241,POLG
242,POLG2
243,POMGNT1
244,POMGNT2
245,POMK
246,POMT1
247,POMT2
248,PPT1
249,PRODH
250,PRPS1
251,PSAP
252,PTPS
253,PYGL
254,PYGM
255,QDPR
256,RET
257,RNASEH1
258,RPL11
259,RPL35A
260,RPL5
261,RPS10
262,RPS17
263,RPS19
264,RPS24
265,RPS26
266,RPS7
267,RRM2B
268,RXYLT1
269,SAR1B
270,SC5D
271,SCP2
272,SERPINA1
273,SGCA
274,SGCG
275,SLC12A1
276,SLC12A3
277,SLC17A5
278,SLC19A3
279,SLC1A1
280,SLC22A5
281,SLC25A1
282,SLC25A13
283,SLC25A20
284,SLC25A4
285,SLC2A1
286,SLC2A2
287,SLC35C1
288,SLC36A2
289,SLC37A4
290,SLC39A4
291,SLC5A1
292,SLC6A19
293,SLC6A20
294,SLC7A7
295,SPR
296,ST3GAL5
297,SUCLA2
298,SUGCT
299,SUMF1
300,TAZ
301,TDO2
302,TF
303,TFR2
304,TH
305,TK2
306,TOP3A
307,TPP1
308,TTPA
309,TWNK
310,UGT1A1
311,UMOD
312,UROD
313,UROS
314,and
