row_id,datatype_value
1,100
2,10020
3,100288984
4,100499418
5,100499469
6,10128
7,10157
8,10165
9,10195
10,10329
11,10466
12,10577
13,10585
14,106480318
15,107105281
16,107105283
17,107133489
18,107133490
19,107436001
20,107436003
21,107436004
22,107436006
23,107436007
24,1075
25,10841
26,10916
27,109729144
28,109729150
29,109729151
30,109729152
31,109729153
32,109729154
33,109729155
34,109729156
35,11019
36,11041
37,111188162
38,1120
39,112163599
40,112163614
41,112268489
42,112272547
43,112272562
44,112340375
45,112390311
46,11253
47,113189
48,116519
49,117015
50,1175
51,1188
52,1200
53,1201
54,1244
55,131118
56,132158
57,1356
58,1373
59,1374
60,1375
61,1376
62,1384
63,145173
64,146059
65,148738
66,148789
67,1491
68,1497
69,153201
70,1585
71,1586
72,1589
73,1593
74,1605
75,1621
76,1629
77,1644
78,170683
79,1716
80,1718
81,1719
82,1738
83,175
84,1763
85,178
86,18
87,1806
88,1807
89,1822
90,189
91,1893
92,19
93,2027
94,203859
95,2108
96,2109
97,2110
98,215
99,2203
100,2218
101,2235
102,226
103,2271
104,22845
105,22940
106,23175
107,23395
108,23417
109,23438
110,23474
111,2348
112,23556
113,2395
114,246243
115,249
116,2517
117,2538
118,2542
119,25839
120,2584
121,2593
122,25974
123,2623
124,2628
125,26284
126,2629
127,2632
128,2639
129,2643
130,2645
131,26503
132,2678
133,2694
134,270
135,27034
136,2710
137,2717
138,2720
139,27232
140,27249
141,2746
142,2752
143,2767
144,285362
145,291
146,2937
147,29929
148,29954
149,2998
150,3027
151,3028
152,3030
153,3033
154,3077
155,3081
156,3145
157,3155
158,3242
159,3251
160,3293
161,3295
162,338
163,340024
164,3425
165,3479
166,348
167,353
168,36
169,368
170,3712
171,3758
172,378050
173,378940
174,38
175,383
176,3852
177,3930
178,3931
179,3939
180,3945
181,3988
182,3990
183,4000
184,4125
185,4126
186,4143
187,4164
188,4165
189,427
190,4282
191,4329
192,435
193,4351
194,4504
195,4512
196,4513
197,4514
198,4519
199,4524
200,4535
201,4538
202,4539
203,4540
204,4541
205,4547
206,4548
207,4549
208,4552
209,4556
210,4564
211,4566
212,4567
213,4572
214,4574
215,4575
216,4598
217,4620
218,4668
219,472
220,4864
221,4942
222,4952
223,4976
224,50484
225,5053
226,50814
227,5092
228,51099
229,51128
230,51181
231,5213
232,5230
233,5236
234,5255
235,5256
236,5257
237,5261
238,5265
239,5277
240,538
241,5428
242,54344
243,54658
244,54716
245,5476
246,54840
247,549
248,54982
249,551
250,55157
251,55163
252,55343
253,5538
254,55624
255,55630
256,55687
257,56172
258,5625
259,5631
260,5660
261,56652
262,56922
263,56983
264,56997
265,57091
266,57697
267,57817
268,5836
269,5837
270,5860
271,593
272,594
273,5979
274,6052
275,6125
276,6135
277,6165
278,617
279,6201
280,6204
281,6218
282,6223
283,6229
284,6231
285,6309
286,6342
287,64087
288,6442
289,6445
290,64788
291,6505
292,65080
293,6513
294,6514
295,65217
296,6523
297,6557
298,6559
299,6576
300,6584
301,6697
302,6718
303,6833
304,686
305,6901
306,6999
307,7018
308,7036
309,7054
310,7084
311,7156
312,7274
313,728294
314,7369
315,7389
316,7390
317,7809
318,788
319,79053
320,79147
321,79152
322,79158
323,79783
324,79796
325,79944
326,80270
327,8029
328,80331
329,80704
330,81693
331,8192
332,825
333,8291
334,8398
335,84197
336,84342
337,846
338,84892
339,85365
340,8659
341,875
342,8803
343,8818
344,8869
345,8942
346,9056
347,91949
348,9215
349,93183
350,9382
351,94135
352,979
