row_id,datatype_value
1,DB00005
2,DB00012
3,DB00016
4,DB00020
5,DB00026
6,DB00028
7,DB00030
8,DB00033
9,DB00034
10,DB00035
11,DB00051
12,DB00052
13,DB00053
14,DB00060
15,DB00061
16,DB00065
17,DB00067
18,DB00073
19,DB00083
20,DB00090
21,DB00091
22,DB00098
23,DB00099
24,DB00103
25,DB00104
26,DB00111
27,DB00112
28,DB00114
29,DB00115
30,DB00118
31,DB00119
32,DB00121
33,DB00123
34,DB00125
35,DB00126
36,DB00129
37,DB00130
38,DB00133
39,DB00136
40,DB00140
41,DB00143
42,DB00145
43,DB00147
44,DB00148
45,DB00149
46,DB00151
47,DB00152
48,DB00155
49,DB00158
50,DB00159
51,DB00162
52,DB00163
53,DB00165
54,DB00166
55,DB00169
56,DB00175
57,DB00178
58,DB00181
59,DB00182
60,DB00186
61,DB00188
62,DB00190
63,DB00200
64,DB00213
65,DB00227
66,DB00230
67,DB00232
68,DB00235
69,DB00244
70,DB00252
71,DB00264
72,DB00273
73,DB00277
74,DB00282
75,DB00286
76,DB00288
77,DB00311
78,DB00313
79,DB00321
80,DB00328
81,DB00331
82,DB00334
83,DB00348
84,DB00360
85,DB00375
86,DB00376
87,DB00390
88,DB00393
89,DB00396
90,DB00404
91,DB00413
92,DB00419
93,DB00421
94,DB00422
95,DB00435
96,DB00437
97,DB00440
98,DB00443
99,DB00451
100,DB00458
101,DB00459
102,DB00472
103,DB00476
104,DB00477
105,DB00480
106,DB00494
107,DB00502
108,DB00509
109,DB00531
110,DB00533
111,DB00542
112,DB00555
113,DB00563
114,DB00564
115,DB00571
116,DB00575
117,DB00583
118,DB00584
119,DB00586
120,DB00593
121,DB00594
122,DB00608
123,DB00620
124,DB00624
125,DB00627
126,DB00630
127,DB00635
128,DB00636
129,DB00641
130,DB00650
131,DB00653
132,DB00658
133,DB00672
134,DB00679
135,DB00682
136,DB00683
137,DB00687
138,DB00688
139,DB00695
140,DB00697
141,DB00700
142,DB00734
143,DB00741
144,DB00742
145,DB00746
146,DB00755
147,DB00761
148,DB00776
149,DB00783
150,DB00788
151,DB00808
152,DB00819
153,DB00829
154,DB00841
155,DB00847
156,DB00855
157,DB00860
158,DB00869
159,DB00877
160,DB00909
161,DB00915
162,DB00916
163,DB00926
164,DB00936
165,DB00951
166,DB00959
167,DB00973
168,DB00982
169,DB00988
170,DB00993
171,DB00994
172,DB00996
173,DB00999
174,DB01001
175,DB01005
176,DB01012
177,DB01015
178,DB01022
179,DB01025
180,DB01026
181,DB01029
182,DB01032
183,DB01037
184,DB01039
185,DB01041
186,DB01045
187,DB01060
188,DB01068
189,DB01076
190,DB01077
191,DB01080
192,DB01083
193,DB01098
194,DB01109
195,DB01115
196,DB01119
197,DB01124
198,DB01132
199,DB01147
200,DB01151
201,DB01174
202,DB01186
203,DB01197
204,DB01200
205,DB01202
206,DB01205
207,DB01219
208,DB01233
209,DB01234
210,DB01235
211,DB01241
212,DB01247
213,DB01257
214,DB01272
215,DB01277
216,DB01306
217,DB01323
218,DB01324
219,DB01325
220,DB01329
221,DB01345
222,DB01373
223,DB01377
224,DB01390
225,DB01393
226,DB01394
227,DB01403
228,DB01432
229,DB01563
230,DB01586
231,DB01587
232,DB01592
233,DB01593
234,DB01599
235,DB01606
236,DB01609
237,DB01611
238,DB01626
239,DB01783
240,DB01914
241,DB01956
242,DB02053
243,DB02209
244,DB02285
245,DB02329
246,DB02659
247,DB02691
248,DB02701
249,DB02709
250,DB02745
251,DB02772
252,DB02952
253,DB02959
254,DB03085
255,DB03147
256,DB03227
257,DB03256
258,DB03404
259,DB03485
260,DB03614
261,DB03756
262,DB03766
263,DB03793
264,DB03904
265,DB04075
266,DB04076
267,DB04159
268,DB04160
269,DB04173
270,DB04272
271,DB04398
272,DB04465
273,DB04540
274,DB04552
275,DB04729
276,DB04789
277,DB04815
278,DB04844
279,DB04846
280,DB04854
281,DB04931
282,DB05010
283,DB05016
284,DB05018
285,DB05123
286,DB05134
287,DB05271
288,DB05294
289,DB05386
290,DB05481
291,DB05812
292,DB05990
293,DB06151
294,DB06168
295,DB06210
296,DB06262
297,DB06273
298,DB06281
299,DB06285
300,DB06287
301,DB06372
302,DB06637
303,DB06643
304,DB06720
305,DB06723
306,DB06742
307,DB06755
308,DB06756
309,DB06775
310,DB06777
311,DB06819
312,DB07425
313,DB08809
314,DB08826
315,DB08830
316,DB08834
317,DB08842
318,DB08860
319,DB08875
320,DB08876
321,DB08883
322,DB08908
323,DB08909
324,DB09039
325,DB09043
326,DB09046
327,DB09081
328,DB09104
329,DB09105
330,DB09115
331,DB09125
332,DB09130
333,DB09144
334,DB09153
335,DB09154
336,DB09210
337,DB09241
338,DB09269
339,DB09270
340,DB09278
341,DB09321
342,DB09341
343,DB09393
344,DB09395
345,DB09422
346,DB09449
347,DB09481
348,DB09536
349,DB09539
350,DB11094
351,DB11098
352,DB11110
353,DB11127
354,DB11133
355,DB11135
356,DB11251
357,DB11563
358,DB11599
359,DB11635
360,DB11672
361,DB11677
362,DB11735
363,DB11753
364,DB11829
365,DB11859
366,DB11917
367,DB11981
368,DB11991
369,DB12273
370,DB12319
371,DB12351
372,DB12374
373,DB12422
374,DB12449
375,DB12513
376,DB12528
377,DB12536
378,DB12537
379,DB12783
380,DB12839
381,DB12890
382,DB12907
383,DB13173
384,DB13178
385,DB13191
386,DB13226
387,DB13245
388,DB13257
389,DB13387
390,DB13401
391,DB13862
392,DB13873
393,DB13959
394,DB13961
395,DB14002
396,DB14003
397,DB14094
398,DB14098
399,DB14104
400,DB14151
401,DB14307
402,DB14476
403,DB14500
404,DB14502
405,DB14507
406,DB14513
407,DB14523
408,DB14555
409,DB14573
410,DB14644
411,DB14681
412,DB14712
413,DB14751
414,DB14778
415,DB14872
416,DB14933
417,DB14992
418,DB15066
419,DB15146
