row_id,datatype_value
1,1
2,100
3,101
4,1012
5,1019
6,104
7,1047
8,1054
9,1061
10,107
11,1083
12,1085
13,1086
14,11
15,111
16,1110
17,1114
18,112
19,1120
20,1121
21,1122
22,1124
23,1125
24,1126
25,1130
26,1131
27,114
28,1141
29,1145
30,1147
31,117
32,119
33,1241
34,125
35,1251
36,1252
37,1257
38,1258
39,1259
40,126
41,1281
42,1283
43,1284
44,1289
45,1297
46,1299
47,1336
48,1344
49,135
50,1369
51,1372
52,1405
53,1410
54,142
55,145
56,15
57,159
58,16
59,161
60,163
61,165
62,166
63,172
64,174
65,177
66,178
67,18
68,183
69,185
70,191
71,192
72,194
73,195
74,196
75,197
76,199
77,202
78,203
79,204
80,206
81,208
82,214
83,217
84,22
85,223
86,228
87,229
88,23
89,236
90,237
91,24
92,241
93,25
94,258
95,259
96,261
97,263
98,267
99,268
100,27
101,274
102,28
103,280
104,284
105,288
106,292
107,293
108,296
109,297
110,299
111,3
112,30
113,301
114,302
115,303
116,304
117,305
118,306
119,307
120,309
121,31
122,311
123,316
124,319
125,322
126,323
127,324
128,326
129,327
130,330
131,335
132,336
133,338
134,339
135,341
136,342
137,343
138,344
139,345
140,349
141,352
142,353
143,354
144,358
145,359
146,36
147,360
148,361
149,37
150,371
151,379
152,38
153,380
154,387
155,388
156,39
157,398
158,399
159,4
160,40
161,400
162,402
163,409
164,411
165,418
166,425
167,446
168,457
169,47
170,474
171,480
172,481
173,482
174,483
175,484
176,485
177,486
178,487
179,489
180,49
181,490
182,491
183,492
184,493
185,495
186,497
187,499
188,5
189,50
190,500
191,501
192,502
193,503
194,507
195,51
196,512
197,525
198,528
199,537
200,542
201,55
202,554
203,56
204,561
205,562
206,563
207,567
208,568
209,57
210,58
211,581
212,582
213,59
214,6
215,600
216,604
217,610
218,611
219,615
220,618
221,62
222,63
223,64
224,640
225,641
226,642
227,645
228,65
229,658
230,661
231,671
232,71
233,722
234,723
235,724
236,726
237,727
238,732
239,734
240,750
241,753
242,76
243,760
244,798
245,80
246,82
247,83
248,836
249,872
250,877
251,88
252,883
253,889
254,89
255,895
256,9
257,90
258,916
259,924
260,93
261,934
262,935
263,936
264,937
265,942
266,944
267,945
268,946
269,96
270,961
271,993
272,995
