From	To
O95954	K13990
O43766	K03644
O43505	K21032
Q9Y259	K14156
Q9UHN1	K02333
Q9UKM7	K01230
Q8NCH0	K08105
Q6Q788	K09025
P53680	K11827
P51801	K05018
O14773	K01279
Q13286	K12389
Q92887	K05666
Q96DA6	K09539
Q8IVS8	K11529
P00450	K13624
P31327	K01948
P50416	K08765
Q92523	K19523
Q8IWY9	K19531
Q6ZVN8	K23100
Q8NCR0	K09654
P32929	K01758
O60931	K12386
Q495M3	K14209
P05093	K00512
Q02318	K00488
Q14118	K06265
P09172	K00503
P11182	K09699
P20711	K01593
Q16854	K00904
Q15392	K09828
P00374	K00287
P09622	K00382
P20933	K01444
P51530	K10742
P35573	K01196
P80404	K13524
Q12882	K00207
Q14117	K01464
P54259	K05626
O95477	K05641
P13929	K01689
Q75V66	K19480
P13804	K03522
P38117	K03521
Q16134	K00311
P33897	K05675
P09467	K03841
O75072	K19872
P22830	K01772
P04075	K01623
P07954	K01679
Q9UPQ8	K00902
Q14693	K15728
O95822	K01578
O95571	K17725
P15328	K13649
O95427	K05285
Q16595	K19054
O60930	K03469
P05186	K01077
P04066	K01206
P35575	K01084
O43826	K08171
P51570	K00849
Q14353	K00542
Q9Y4U1	K14618
P15976	K09182
P50440	K00613
P04062	K01201
Q04446	K00700
Q92947	K00252
P30793	K01495
P35557	K12407
Q9NRA2	K12301
P19440	K18592
P23109	K01490
Q9UKU7	K11538
P32189	K00864
P06280	K01189
P16278	K12309
Q14749	K00552
P00367	K00261
P15104	K01915
P29992	K04635
Q8NBK3	K13444
P12235	K05863
P48637	K21456
Q9UKY4	K00728
P54840	K00693
Q99714	K08683
P40939	K07515
Q16836	K00022
Q93099	K00451
P08397	K01749
P35914	K01640
P32754	K00457
P00492	K00760
P51659	K12405
P04114	K14462
Q695T7	K05334
P35475	K01217
P05019	K05459
P02649	K04524
P07741	K00759
P45954	K09478
P26440	K00253
P48048	K04995
P24752	K00626
P05089	K01476
P13647	K07605
Q14739	K19532
P04180	K00650
P00338	K00016
P07195	K00016
P38571	K01052
P11150	K22283
P02545	K12641
O00754	K12311
O00462	K01192
Q00266	K00789
Q13510	K12348
Q02252	K00140
P04424	K01755
P34949	K01809
P42898	K00297
P55157	K14463
Q99707	K00548
Q9UBK8	K00597
Q03426	K00869
Q9UKX2	K10352
P17050	K01204
Q13315	K04728
O15118	K12385
P04181	K00819
Q01968	K01099
O60313	K17079
Q7LG56	K10808
P00439	K00500
Q15738	K07748
P61457	K01724
Q8WTS1	K13699
Q9Y6B6	K07953
Q969N2	K05292
P08237	K00850
P36871	K01835
P46020	K07190
P46019	K07190
Q93100	K07190
P15735	K00871
P01009	K03984
P37287	K03857
Q04656	K17686
P54098	K02332
Q9P2X0	K09659
P22309	K00699
Q9NP91	K05048
P10619	K13289
Q7Z2E3	K10863
Q13825	K05607
Q9NWW5	K12359
P01185	K05242
Q6PI48	K01876
Q9NVS9	K00275
Q96A29	K15279
P50897	K01074
Q8WZA1	K09666
Q6P5W5	K14710
Q9HCJ1	K22734
O43272	K00318
P60891	K00948
P07602	K12382
Q96RR1	K17680
Q96RQ3	K01968
Q8NBL1	K13667
P81172	K23106
P06737	K00688
P11217	K00688
P09417	K00357
P12694	K00166
P21953	K00167
P07949	K05126
P46777	K02932
P62913	K02868
P18077	K02917
Q9Y276	K08900
P62081	K02993
P46783	K02947
P08708	K02962
P39019	K02966
P62847	K02974
P62854	K02976
O75845	K00227
P22307	K08764
Q9HCC0	K01969
Q16586	K12565
Q13326	K12564
Q96S06	K23555
P43005	K05612
Q9H9J2	K17425
P11166	K07299
P11168	K07593
P13866	K14158
Q13621	K14425
P55017	K14426
P53007	K15100
P35270	K00072
P51857	K00251
Q09428	K05032
P43251	K01435
Q16635	K13511
P48775	K00453
P02787	K14736
P07101	K00501
O00142	K00857
Q13472	K03165
Q8N465	K18204
P07911	K18274
P06132	K01599
P10746	K01719
Q8WZ55	K19331
O43772	K15109
Q9H9S5	K19873
Q7L5A8	K19703
Q3T906	K08239
Q9HAC7	K18703
Q9H9P8	K00109
Q9H2F3	K12408
O60494	K14616
Q9H3Z4	K09525
Q9BZV2	K14610
Q9BXJ7	K18259
P20807	K08573
O75923	K18261
O60733	K16343
Q9H5K3	K17547
P41180	K04612
Q8NAT1	K18207
P30038	K00294
P0DN79	K01697
P35520	K01697
Q9P2R7	K01900
O60762	K00721
O94777	K09658
Q9UNP4	K03370
Q16719	K01556
Q9UM01	K13867
Q9H3S5	K05284
Q8WTW3	K20288
