yourlist:M201910296746803381A1F0E0DB47453E0216320D0928A52	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
100	P00813	ADA_HUMAN	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	ADA ADA1	Homo sapiens (Human)	363
10020	Q9Y223	GLCNE_HUMAN	reviewed	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	GNE GLCNE	Homo sapiens (Human)	722
10128	P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
10157	Q9UDR5	AASS_HUMAN	reviewed	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	AASS	Homo sapiens (Human)	926
10165	Q9UJS0	CMC2_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)	SLC25A13 ARALAR2	Homo sapiens (Human)	675
10329	Q9Y2B1	RXLT1_HUMAN	reviewed	Ribitol-5-phosphate xylosyltransferase 1 (EC 2.4.2.-) (Transmembrane protein 5) (UDP-D-xylose:ribitol-5-phosphate beta1,4-xylosyltransferase)	RXYLT1 TMEM5	Homo sapiens (Human)	443
10577	P61916	NPC2_HUMAN	reviewed	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)	NPC2 HE1	Homo sapiens (Human)	151
10585	Q9Y6A1	POMT1_HUMAN	reviewed	Protein O-mannosyl-transferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1)	POMT1	Homo sapiens (Human)	747
1075	P53634	CATC_HUMAN	reviewed	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	Homo sapiens (Human)	463
10841	O95954	FTCD_HUMAN	reviewed	Formimidoyltransferase-cyclodeaminase (Formiminotransferase-cyclodeaminase) (FTCD) (LCHC1) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)]	FTCD	Homo sapiens (Human)	541
